scenario,method,hour,mean_cumulative_false_alert_probability,n_defined
S2,PaFAR-HC,57,0.06928680000000004,500
S2,PaFAR-HC,58,0.06962080000000001,500
S2,PaFAR-HC,59,0.0699452,500
S2,PaFAR-HC,60,0.07027279999999991,500
S2,PaFAR-HC,61,0.07058079999999994,500
S2,PaFAR-HC,62,0.0708872,500
S2,PaFAR-HC,63,0.07119720000000004,500
S2,PaFAR-HC,64,0.07149799999999999,500
S2,PaFAR-HC,65,0.07180920000000005,500
S2,PaFAR-HC,66,0.07210480000000001,500
S2,PaFAR-HC,67,0.07241239999999999,500
S2,PaFAR-HC,68,0.0727292000000001,500
S2,PaFAR-HC,69,0.07301720000000006,500
S2,PaFAR-HC,70,0.07332279999999995,500
S2,PaFAR-HC,71,0.07361799999999998,500
S2,PaFAR-HC,72,0.07391160000000006,500
S2,PaFAR-HC,73,0.07420200000000009,500
S2,PaFAR-HC,74,0.0744872000000001,500
S2,PaFAR-HC,75,0.07474719999999993,500
S2,PaFAR-HC,76,0.07501439999999998,500
S2,PaFAR-HC,77,0.07527919999999999,500
